Column1;Column2;Column3;Column4
Mandarin Word;Pinyin;English Translation;Resemblance Description
是;shì;to be;Resembles a person standing straight with arms by their side.
的;de;possessive particle;Resembles a hand holding a small object.
我;wǒ;I, me;Resembles a person with arms stretched out towards themselves.
你;nǐ;you;Resembles a person kneeling down with their head bowed.
是的;shìde;yes;Resembles a person nodding their head in agreement.
不;bù;not;Resembles a person with arms crossed, indicating negation.
了;le;past tense marker;Resembles a person walking forward.
他;tā;he, him;Resembles a person with an elongated head and torso.
在;zài;at, in, on;Resembles a person standing within a boundary or enclosure.
人;rén;person;Resembles a standing person with two legs.
有;yǒu;to have;Resembles a person holding something in their arms.
他们;tāmen;they;Resembles a group of people standing together.
这;zhè;this;Resembles a person pointing to something.
个;gè;measure word for general use;Resembles an open hand.
中;zhōng;middle, center;Resembles a person with arms raised towards the center.
来;lái;to come;Resembles a person walking towards you.
上;shàng;above, on;Resembles a person climbing up a ladder.
大;dà;big, large;Resembles a person with outstretched arms, indicating something large.
为;wèi;for, to do;Resembles a person weighing options before making a decision.
以;yǐ;with, by;Resembles a person holding something above their head.
要;yào;to want, will;Resembles a person with raised arms, indicating a desire.
就;jiù;then, just;Resembles a person with arms extended outwards, indicating completion.
会;huì;can, will, to be able to;Resembles a person with their hands together, indicating ability.
可以;kěyǐ;can, may;Resembles a person giving a thumbs-up gesture.
能;néng;can, to be able to;Resembles a person with arms flexed, indicating capability.
好;hǎo;good, well;Resembles a person with arms open, indicating something positive.
去;qù;to go;Resembles a person walking away.
这个;zhè ge;this;Resembles a person pointing to something.
很;hěn;very, quite;Resembles a person with arms extended outwards, indicating intensity.
来说;lái shuō;to say;Resembles a person speaking with their mouth open.
对;duì;correct, to;Resembles a person facing another person.
那;nà;that;Resembles a person pointing in a particular direction.
能力;nénglì;ability;Resembles a person with arms flexed, indicating capability.
做;zuò;to do;Resembles a person performing a task with their hands.
得;dé;to obtain, must;Resembles a person holding something in their hands.
都;dōu;all, both;Resembles a person with arms extended outwards, indicating inclusivity.
还;hái;still, also;Resembles a person offering something with both hands.
用;yòng;to use;Resembles a person using an object with their hands.
吧;ba;suggestion particle;Resembles a person raising their arms in a questioning manner.
我们;wǒmen;we, us;Resembles a group of people standing together.
她;tā;she, her;Resembles a person with an elongated head and torso.
路;lù;road, path;Resembles a person walking on a path.
这样;zhèyàng;like this;Resembles a person gesturing with their hands.
都是;dōu shì;all are;Resembles a person with arms extended outwards, indicating inclusivity.
和;hé;and;Resembles a person with arms extended towards another person.
时候;shíhòu;time, moment;Resembles a person holding a clock or pointing to a specific time.
可能;kěnéng;maybe, possibly;Resembles a person shrugging their shoulders, indicating uncertainty.
喜欢;xǐhuān;to like;Resembles a person expressing joy with their arms raised.
呢;ne;question particle;Resembles a person scratching their head in confusion.
