ID,Mandarin Character,Pinyin Romanization,English Translation,Resemblance Description,Example Sentence (Pinyin),Example Sentence (English Translation),Memory Helper with Pronunciation
1,的,de,"of, ~'s","Picture of a large needle (的) poking through a cloth (衣), indicating possession or association.",这是我的书。 (Zhè shì wǒ de shū.),This is my book.,"Imagine a cloth with a big needle poking through it saying, ""This is mine."" (pronounced ""duh"")"
2,一,yī,one,"A single stroke, representing the number one.",我有一本书。 (Wǒ yǒu yī běn shū.),I have one book.,"Imagine a single straight line representing one, like the number one. (pronounced ""ee"")"
3,是,shì,to be,"Two horizontal strokes connecting like an equal sign (=), indicating existence or identification.",他是我的朋友。 (Tā shì wǒ de péngyǒu.),He is my friend.,"Imagine the character as two horizontal lines connecting like an equal sign, representing ""is."" (pronounced ""sher"")"
4,不,bù,not,"A horizontal line cutting through a standing person, indicating negation or denial.",我不喜欢吃辣。 (Wǒ bù xǐhuan chī là.),I don't like spicy food.,"Imagine a person standing with a horizontal line across them, indicating ""not."" (pronounced ""boo"")"
5,了,le,particle indicating completed action,"Two vertical strokes, resembling an ""X,"" indicating a finished action.",我吃饭了。 (Wǒ chīfàn le.),I ate already.,"Imagine two vertical strokes forming an ""X"" to represent something that is finished. (pronounced ""luh"")"
6,在,zài,"at, in, on","A horizontal line above a standing person, indicating location or existence.",他在图书馆学习。 (Tā zài túshū guǎn xuéxí.),He is studying at the library.,"Imagine a person standing under a horizontal line, representing ""at"" or ""in."" (pronounced ""zai"")"
7,人,rén,person,"A standing person with two legs, resembling a stick figure.",这个人很高。 (Zhège rén hěn gāo.),This person is tall.,"Imagine a standing person with two legs, like a stick figure. (pronounced ""ren"")"
8,有,yǒu,"to have, there is/are","Two horizontal lines connected by a vertical line, resembling a box, indicating possession or existence.",我有一只猫。 (Wǒ yǒu yī zhī māo.),I have a cat.,"Imagine two horizontal lines connected by a vertical line, forming a box to represent ""have"" or ""there is/are."" (pronounced ""yo"")"
9,我,wǒ,"I, me","A person with arms extended, resembling a stick figure indicating oneself.",我很开心。 (Wǒ hěn kāixīn.),I am very happy.,"Imagine a stick figure with arms extended, representing ""I"" or ""me."" (pronounced ""wo"")"
10,他,tā,"he, him","A person with a horizontal line indicating the head, distinguishing it from ""I.""",他是我的朋友。 (Tā shì wǒ de péngyǒu.),He is my friend.,"Imagine a stick figure with a horizontal line above the head, representing ""he"" or ""him."" (pronounced ""tah"")"
11,这,zhè,this,"Two horizontal lines enclosing a dot, resembling a small box, indicating proximity.",这本书很好看。 (Zhè běn shū hěn hǎokàn.),This book is very interesting.,"Imagine two horizontal lines enclosing a dot, resembling a small box to represent ""this."" (pronounced ""juh"")"
12,个,gè,general measure word,"A standing person, indicating an individual or a general measure word.",我买了两个苹果。 (Wǒ mǎi le liǎng gè píngguǒ.),I bought two apples.,"Imagine a standing person indicating an individual or a general measure word. (pronounced ""guh"")"
13,们,mén,plural marker for pronouns,"Two standing people, indicating a group of people or plural pronouns.",我们是朋友。 (Wǒmen shì péngyǒu.),We are friends.,"Imagine two standing people representing a group or plural pronouns. (pronounced ""muhn"")"
14,中,zhōng,"middle, center","Two vertical lines with a horizontal line in the middle, resembling a box indicating centrality or China.",我在中国学习。 (Wǒ zài Zhōngguó xuéxí.),I am studying in China.,"Imagine two vertical lines with a horizontal line in the middle, resembling a box to represent ""middle"" or ""China."" (pronounced ""jong"")"
15,来,lái,to come,"Two horizontal lines resembling a roof, indicating movement or arrival.",他明天来我家。 (Tā míngtiān lái wǒ jiā.),He will come to my house tomorrow.,"Imagine two horizontal lines resembling a roof, representing ""come"" or ""arrival."" (pronounced ""lye"")"
16,上,shàng,"above, on top","A horizontal line above a standing person, indicating a position above or on top of something.",书在桌子上。 (Shū zài zhuōzi shàng.),The book is on the table.,"Imagine a person standing under a horizontal line, representing ""above"" or ""on top."" (pronounced ""shahng"")"
17,大,dà,"big, large","A vertical line with a horizontal line, resembling a person with arms extended indicating ""big"" or ""large.""",这是一本大书。 (Zhè shì yī běn dà shū.),This is a big book.,"Imagine a vertical line with a horizontal line, resembling a person with arms extended to represent ""big"" or ""large."" (pronounced ""da"")"
18,为,wèi,"for, to do","A person kneeling with arms extended, resembling a worshipper, indicating purpose or action.",我为你祈祷。 (Wǒ wèi nǐ qídǎo.),I pray for you.,"Imagine a person kneeling with arms extended, resembling a worshipper, representing ""for"" or ""to do."" (pronounced ""way"")"
19,和,hé,and,"Two standing people side by side, indicating harmony or conjunction.",我喜欢音乐和电影。 (Wǒ xǐhuan yīnyuè hé diànyǐng.),I like music and movies.,"Imagine two standing people side by side, representing ""and"" or ""together."" (pronounced ""huh"")"
